UNIQUE_ID,PERSON_AGE,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_SEX,PERSON_TYPE,PED_LOCATION,CONTRIBUTING_FACTOR_2,EJECTION,COMPLAINT,EMOTIONAL_STATUS,CONTRIBUTING_FACTOR_1,POSITION_IN_VEHICLE,PED_ROLE,PED_ACTION,PERSON_INJURY
11537388,57.0,9.0,10.0,0,2.0,1.0,0.0,5.0,30.0,10.0,0.0,8.0,3.0,-1.0,Killed
11537390,60.0,9.0,10.0,1,2.0,1.0,0.0,5.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11574892,40.0,10.0,-10.0,0,3.0,4.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,9.0,Killed
11542012,4.0,10.0,-10.0,0,3.0,4.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,9.0,Killed
11574920,26.0,4.0,8.0,0,1.0,1.0,0.0,3.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11595578,29.0,10.0,0.0,0,1.0,1.0,0.0,3.0,30.0,10.0,0.0,7.0,5.0,-1.0,Killed
11975362,74.0,1.0,-10.0,0,2.0,1.0,0.0,3.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11552378,16.0,9.0,-10.0,0,2.0,1.0,0.0,10.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11559617,86.0,10.0,-10.0,0,3.0,5.0,10.0,0.0,0.0,3.0,10.0,-10.0,4.0,4.0,Killed
11589611,81.0,9.0,-10.0,0,3.0,4.0,27.0,0.0,20.0,10.0,39.0,-10.0,4.0,9.0,Killed
11558357,60.0,6.0,-10.0,0,3.0,4.0,10.0,0.0,30.0,10.0,27.0,-10.0,4.0,9.0,Killed
11558282,23.0,9.0,10.0,0,2.0,1.0,0.0,3.0,30.0,10.0,0.0,8.0,3.0,-1.0,Killed
11587693,84.0,3.0,-10.0,0,3.0,5.0,10.0,0.0,20.0,10.0,27.0,-10.0,4.0,10.0,Killed
11565066,52.0,10.0,-10.0,1,3.0,4.0,10.0,0.0,30.0,8.0,27.0,-10.0,4.0,4.0,Killed
11609924,51.0,6.0,-10.0,0,3.0,4.0,10.0,0.0,30.0,10.0,27.0,-10.0,4.0,5.0,Killed
11565737,42.0,9.0,0.0,0,2.0,1.0,0.0,5.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11571745,64.0,3.0,-10.0,1,3.0,5.0,10.0,0.0,30.0,3.0,10.0,-10.0,4.0,4.0,Killed
11975370,21.0,10.0,0.0,0,2.0,1.0,0.0,3.0,30.0,10.0,0.0,8.0,3.0,-1.0,Killed
11583028,54.0,10.0,-10.0,1,3.0,3.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,3.0,Killed
11595786,72.0,9.0,-10.0,0,3.0,5.0,10.0,0.0,30.0,8.0,10.0,-10.0,4.0,4.0,Killed
11598578,68.0,9.0,10.0,1,2.0,1.0,0.0,3.0,50.0,10.0,0.0,8.0,3.0,-1.0,Killed
11598580,70.0,9.0,10.0,0,2.0,1.0,0.0,3.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11747196,45.0,10.0,-10.0,0,3.0,5.0,10.0,0.0,30.0,8.0,10.0,-10.0,4.0,10.0,Killed
11592331,73.0,10.0,-10.0,1,3.0,4.0,10.0,0.0,20.0,10.0,27.0,-10.0,4.0,7.0,Killed
11745229,84.0,10.0,-10.0,1,3.0,5.0,10.0,0.0,20.0,5.0,10.0,-10.0,4.0,4.0,Killed
11589205,6.0,10.0,-10.0,0,3.0,4.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,8.0,Killed
11601379,31.0,6.0,-10.0,0,3.0,5.0,10.0,0.0,50.0,3.0,10.0,-10.0,4.0,0.0,Killed
11596142,32.0,9.0,-10.0,1,3.0,5.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,4.0,Killed
11595986,75.0,10.0,-10.0,0,3.0,4.0,27.0,0.0,30.0,10.0,27.0,-10.0,4.0,9.0,Killed
11810831,92.0,6.0,10.0,0,2.0,1.0,0.0,3.0,30.0,3.0,0.0,10.0,5.0,-1.0,Killed
11766580,24.0,10.0,-10.0,1,3.0,4.0,10.0,0.0,30.0,10.0,27.0,-10.0,4.0,9.0,Killed
11598296,92.0,9.0,-10.0,0,3.0,5.0,10.0,0.0,30.0,10.0,27.0,-10.0,4.0,4.0,Killed
11599081,31.0,10.0,0.0,1,2.0,1.0,0.0,3.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11603468,61.0,9.0,-10.0,1,3.0,5.0,10.0,0.0,30.0,10.0,10.0,-10.0,4.0,4.0,Killed
11752745,58.0,10.0,8.0,0,2.0,1.0,0.0,10.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11756471,42.0,10.0,8.0,0,2.0,1.0,0.0,10.0,50.0,8.0,0.0,7.0,5.0,-1.0,Killed
11602954,30.0,10.0,10.0,1,2.0,1.0,0.0,3.0,50.0,10.0,0.0,8.0,3.0,-1.0,Killed
11766584,55.0,10.0,-10.0,0,3.0,5.0,10.0,0.0,30.0,8.0,10.0,-10.0,4.0,4.0,Killed
11832624,38.0,10.0,-10.0,0,3.0,5.0,10.0,0.0,50.0,8.0,19.0,-10.0,4.0,0.0,Killed
11608380,65.0,9.0,-10.0,0,3.0,5.0,10.0,0.0,30.0,10.0,27.0,-10.0,4.0,5.0,Killed
11761674,52.0,0.0,9.0,0,2.0,1.0,0.0,3.0,10.0,1.0,0.0,10.0,5.0,-1.0,Killed
11793164,61.0,9.0,-10.0,0,3.0,5.0,40.0,0.0,30.0,8.0,27.0,-10.0,4.0,10.0,Killed
11772056,69.0,6.0,9.0,0,2.0,1.0,0.0,3.0,20.0,8.0,0.0,10.0,5.0,-1.0,Killed
11878680,69.0,6.0,9.0,0,2.0,1.0,0.0,3.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11771285,64.0,10.0,-10.0,1,3.0,5.0,10.0,0.0,30.0,7.0,10.0,-10.0,4.0,4.0,Killed
11757751,23.0,6.0,-10.0,0,3.0,5.0,10.0,0.0,50.0,10.0,27.0,-10.0,4.0,10.0,Killed
11748788,73.0,10.0,-10.0,1,3.0,4.0,10.0,0.0,50.0,8.0,27.0,-10.0,4.0,6.0,Killed
11775588,95.0,6.0,-10.0,1,2.0,1.0,0.0,3.0,30.0,10.0,0.0,6.0,3.0,-1.0,Killed
11756685,97.0,6.0,-10.0,0,3.0,4.0,10.0,0.0,30.0,7.0,10.0,-10.0,4.0,3.0,Killed
11759674,59.0,9.0,-10.0,0,3.0,4.0,10.0,0.0,0.0,8.0,10.0,-10.0,4.0,3.0,Killed
11761143,64.0,6.0,0.0,0,4.0,1.0,0.0,3.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11784113,43.0,10.0,-10.0,0,3.0,5.0,10.0,0.0,30.0,8.0,27.0,-10.0,4.0,5.0,Killed
11778804,53.0,1.0,-10.0,0,2.0,1.0,0.0,3.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11784987,52.0,10.0,-10.0,0,3.0,5.0,10.0,0.0,50.0,3.0,10.0,-10.0,4.0,6.0,Killed
11763708,57.0,1.0,-10.0,0,2.0,1.0,0.0,3.0,0.0,8.0,0.0,10.0,5.0,-1.0,Killed
11775951,72.0,10.0,-10.0,1,3.0,4.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,0.0,Killed
11752060,18.0,10.0,0.0,1,2.0,1.0,0.0,10.0,50.0,10.0,0.0,8.0,3.0,-1.0,Killed
11745791,71.0,10.0,-10.0,0,3.0,4.0,10.0,0.0,30.0,8.0,27.0,-10.0,4.0,9.0,Killed
11812418,45.0,10.0,8.0,0,2.0,1.0,0.0,10.0,50.0,8.0,0.0,10.0,5.0,-1.0,Killed
11745869,33.0,10.0,-10.0,0,3.0,4.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,5.0,Killed
11785094,81.0,10.0,-10.0,1,3.0,5.0,10.0,0.0,20.0,8.0,10.0,-10.0,4.0,4.0,Killed
12017125,39.0,10.0,-10.0,0,3.0,4.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,3.0,Killed
11778332,23.0,6.0,10.0,0,2.0,1.0,0.0,3.0,30.0,10.0,0.0,8.0,3.0,-1.0,Killed
11984854,57.0,6.0,-10.0,1,3.0,5.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,4.0,Killed
12003861,22.0,10.0,0.0,0,2.0,1.0,0.0,10.0,50.0,10.0,0.0,7.0,5.0,-1.0,Killed
11827451,24.0,10.0,0.0,0,4.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11780306,77.0,10.0,-10.0,1,3.0,5.0,10.0,0.0,30.0,10.0,10.0,-10.0,4.0,4.0,Killed
11851849,23.0,10.0,-10.0,0,3.0,4.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,5.0,Killed
11790738,35.0,10.0,8.0,0,2.0,1.0,0.0,10.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11805963,26.0,10.0,-10.0,0,2.0,1.0,0.0,3.0,30.0,10.0,0.0,6.0,3.0,-1.0,Killed
11806292,43.0,9.0,-10.0,0,3.0,4.0,10.0,0.0,30.0,10.0,10.0,-10.0,4.0,5.0,Killed
11820181,37.0,10.0,8.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11830186,33.0,10.0,0.0,0,2.0,1.0,0.0,10.0,20.0,8.0,0.0,10.0,5.0,-1.0,Killed
11791937,62.0,10.0,-10.0,1,3.0,5.0,27.0,0.0,50.0,10.0,40.0,-10.0,4.0,10.0,Killed
11832119,21.0,10.0,9.0,0,2.0,1.0,0.0,3.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11756516,43.0,10.0,8.0,0,4.0,1.0,0.0,10.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11864172,61.0,10.0,9.0,0,2.0,1.0,0.0,3.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11836877,32.0,9.0,8.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11759216,29.0,10.0,-10.0,0,3.0,4.0,10.0,0.0,50.0,10.0,27.0,-10.0,4.0,5.0,Killed
11840496,50.0,9.0,-10.0,0,3.0,5.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,4.0,Killed
11818045,20.0,9.0,-10.0,0,3.0,4.0,10.0,0.0,30.0,10.0,27.0,-10.0,4.0,9.0,Killed
11816594,29.0,10.0,0.0,0,2.0,1.0,0.0,10.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11784827,58.0,9.0,-10.0,0,3.0,5.0,10.0,0.0,30.0,10.0,27.0,-10.0,4.0,10.0,Killed
11801132,74.0,10.0,-10.0,1,3.0,5.0,10.0,0.0,30.0,10.0,10.0,-10.0,4.0,9.0,Killed
11845759,73.0,10.0,-10.0,1,3.0,4.0,10.0,0.0,30.0,10.0,27.0,-10.0,4.0,7.0,Killed
11819198,24.0,9.0,10.0,0,2.0,1.0,0.0,5.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11819196,22.0,10.0,10.0,1,2.0,1.0,0.0,5.0,30.0,10.0,0.0,8.0,3.0,-1.0,Killed
11813843,46.0,10.0,8.0,0,2.0,1.0,0.0,10.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11804240,52.0,10.0,-10.0,0,3.0,5.0,10.0,0.0,30.0,10.0,27.0,-10.0,4.0,10.0,Killed
11923590,25.0,9.0,-10.0,0,2.0,1.0,0.0,3.0,50.0,8.0,0.0,6.0,3.0,-1.0,Killed
11923587,30.0,9.0,-10.0,0,2.0,1.0,0.0,3.0,50.0,8.0,0.0,10.0,5.0,-1.0,Killed
11923591,28.0,9.0,-10.0,0,2.0,1.0,0.0,3.0,50.0,8.0,0.0,8.0,3.0,-1.0,Killed
11798914,82.0,10.0,-10.0,1,3.0,5.0,10.0,0.0,30.0,8.0,10.0,-10.0,4.0,0.0,Killed
11886286,46.0,10.0,-10.0,0,3.0,5.0,10.0,0.0,30.0,10.0,40.0,-10.0,4.0,10.0,Killed
11886280,46.0,10.0,-10.0,0,3.0,5.0,10.0,0.0,30.0,10.0,40.0,-10.0,4.0,10.0,Killed
11693486,58.0,10.0,7.0,0,1.0,1.0,0.0,3.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11797361,25.0,10.0,0.0,1,2.0,1.0,0.0,3.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11991283,69.0,9.0,-10.0,1,3.0,4.0,10.0,0.0,20.0,3.0,10.0,-10.0,4.0,4.0,Killed
11765510,34.0,10.0,-10.0,0,3.0,4.0,10.0,0.0,50.0,10.0,27.0,-10.0,4.0,0.0,Killed
11960020,39.0,9.0,-10.0,1,3.0,5.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,4.0,Killed
11842560,54.0,10.0,-10.0,1,3.0,5.0,10.0,0.0,30.0,8.0,10.0,-10.0,4.0,0.0,Killed
11844148,38.0,9.0,0.0,0,4.0,1.0,0.0,10.0,20.0,3.0,0.0,10.0,5.0,-1.0,Killed
11773819,38.0,10.0,8.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11792410,70.0,10.0,-10.0,0,3.0,4.0,10.0,0.0,30.0,10.0,10.0,-10.0,4.0,0.0,Killed
11904891,40.0,1.0,-10.0,0,2.0,1.0,0.0,3.0,0.0,10.0,0.0,10.0,5.0,-1.0,Killed
11759341,44.0,10.0,-10.0,0,3.0,4.0,27.0,0.0,50.0,10.0,27.0,-10.0,4.0,4.0,Killed
11752423,65.0,10.0,-10.0,1,3.0,5.0,10.0,0.0,30.0,8.0,10.0,-10.0,4.0,4.0,Killed
11870604,16.0,10.0,0.0,0,1.0,1.0,0.0,10.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11800098,36.0,4.0,8.0,0,2.0,1.0,0.0,10.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11837143,27.0,10.0,8.0,0,2.0,1.0,0.0,10.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11827090,18.0,10.0,0.0,0,2.0,1.0,0.0,3.0,50.0,8.0,0.0,6.0,3.0,-1.0,Killed
11894330,56.0,10.0,0.0,1,1.0,1.0,0.0,10.0,0.0,8.0,0.0,10.0,5.0,-1.0,Killed
11770751,57.0,6.0,-10.0,1,3.0,5.0,10.0,0.0,30.0,10.0,10.0,-10.0,4.0,0.0,Killed
11975094,57.0,1.0,9.0,0,2.0,1.0,0.0,3.0,0.0,10.0,0.0,10.0,5.0,-1.0,Killed
11852929,53.0,10.0,9.0,0,2.0,1.0,0.0,3.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11870543,47.0,9.0,10.0,0,2.0,1.0,0.0,3.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11766105,52.0,10.0,-10.0,0,3.0,5.0,10.0,0.0,50.0,10.0,27.0,-10.0,4.0,10.0,Killed
11851872,31.0,10.0,8.0,0,2.0,1.0,0.0,3.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11765167,91.0,6.0,-10.0,0,3.0,5.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,4.0,Killed
11819092,25.0,9.0,8.0,0,2.0,1.0,0.0,3.0,50.0,10.0,0.0,8.0,3.0,-1.0,Killed
11819087,36.0,9.0,8.0,0,2.0,1.0,0.0,3.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11835635,49.0,10.0,8.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11721556,121.0,10.0,0.0,0,1.0,1.0,0.0,10.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11814591,25.0,10.0,0.0,0,4.0,1.0,0.0,10.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11751693,37.0,10.0,0.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11857272,58.0,10.0,-10.0,1,3.0,5.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,0.0,Killed
11929772,32.0,9.0,8.0,0,2.0,1.0,0.0,3.0,30.0,3.0,0.0,10.0,5.0,-1.0,Killed
11857524,23.0,10.0,0.0,0,2.0,1.0,0.0,3.0,30.0,10.0,0.0,8.0,3.0,-1.0,Killed
11863749,77.0,9.0,10.0,1,2.0,1.0,0.0,5.0,30.0,10.0,0.0,8.0,3.0,-1.0,Killed
11756640,71.0,10.0,-10.0,0,1.0,1.0,0.0,3.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11864601,67.0,10.0,0.0,0,1.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11795417,22.0,10.0,8.0,0,2.0,1.0,0.0,10.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11863936,20.0,9.0,-10.0,1,2.0,1.0,0.0,10.0,30.0,10.0,0.0,8.0,3.0,-1.0,Killed
11865912,54.0,10.0,-10.0,0,3.0,4.0,10.0,0.0,30.0,10.0,10.0,-10.0,4.0,10.0,Killed
11866026,42.0,10.0,8.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11945328,24.0,10.0,0.0,0,1.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11947347,67.0,9.0,-10.0,1,3.0,4.0,10.0,0.0,50.0,10.0,27.0,-10.0,4.0,5.0,Killed
11896086,46.0,4.0,-10.0,0,3.0,4.0,10.0,0.0,50.0,10.0,10.0,-10.0,4.0,3.0,Killed
12011195,52.0,9.0,10.0,0,2.0,1.0,0.0,3.0,20.0,8.0,0.0,10.0,5.0,-1.0,Killed
11886021,39.0,10.0,10.0,0,2.0,1.0,0.0,5.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11870597,33.0,10.0,-10.0,1,2.0,1.0,0.0,5.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11873446,85.0,9.0,-10.0,1,3.0,4.0,10.0,0.0,50.0,10.0,27.0,-10.0,4.0,9.0,Killed
12020159,70.0,10.0,-10.0,1,3.0,4.0,10.0,0.0,30.0,8.0,10.0,-10.0,4.0,3.0,Killed
12019058,29.0,9.0,-10.0,0,3.0,5.0,10.0,0.0,30.0,10.0,10.0,-10.0,4.0,5.0,Killed
11877586,34.0,10.0,10.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11882008,32.0,10.0,0.0,0,2.0,1.0,0.0,3.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11881593,27.0,10.0,0.0,0,4.0,1.0,0.0,10.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11883230,41.0,10.0,0.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11892377,10.0,10.0,9.0,1,2.0,1.0,0.0,3.0,50.0,10.0,0.0,8.0,3.0,-1.0,Killed
11892379,31.0,9.0,9.0,1,2.0,1.0,0.0,3.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11889174,29.0,6.0,-10.0,0,2.0,1.0,0.0,3.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11893918,52.0,10.0,-10.0,0,3.0,4.0,10.0,0.0,30.0,10.0,27.0,-10.0,4.0,5.0,Killed
11941996,43.0,4.0,-10.0,0,3.0,4.0,10.0,0.0,50.0,10.0,27.0,-10.0,4.0,5.0,Killed
11889467,32.0,10.0,0.0,0,2.0,1.0,0.0,3.0,50.0,10.0,0.0,10.0,5.0,-1.0,Killed
11900510,39.0,8.0,7.0,0,2.0,1.0,0.0,10.0,20.0,3.0,0.0,10.0,5.0,-1.0,Killed
11904714,41.0,10.0,-10.0,0,3.0,5.0,10.0,0.0,30.0,10.0,27.0,-10.0,4.0,10.0,Killed
11905767,24.0,4.0,0.0,0,1.0,1.0,0.0,10.0,30.0,8.0,0.0,10.0,5.0,-1.0,Killed
11893484,48.0,10.0,8.0,0,2.0,1.0,0.0,10.0,40.0,10.0,0.0,10.0,5.0,-1.0,Killed
11934343,31.0,10.0,0.0,0,2.0,1.0,0.0,10.0,30.0,10.0,0.0,10.0,5.0,-1.0,Killed
11893895,77.0,9.0,-10.0,1,2.0,1.0,0.0,5.0,50.0,10.0,0.0,8.0,3.0,-1.0,Killed
11922031,57.0,3.0,8.0,0,2.0,1.0,0.0,10.0,30.0,3.0,0.0,10.0,5.0,-1.0,Killed
